Academic Year,LSS Number,LSS Name,School Number,School Name,AP Subject Group,Students Tested,Number of Exams,Exams per Student,Mean Grade per Exam,Exams with Grades 3-5,% Exams with Grades 3-5,Create Date
2019,01,Allegany,0405,Fort Hill High,All Subjects,104,145,1.4,2.54,69,47.6,20200210
2019,01,Allegany,0405,Fort Hill High,All English,24,24,1,2.04,7,29.2,20200210
2019,01,Allegany,0405,Fort Hill High,All History & Social Science,76,79,1,2.77,42,53.2,20200210
2019,01,Allegany,0405,Fort Hill High,All Math & Computer Science,21,21,1,2.29,10,47.6,20200210
2019,01,Allegany,0405,Fort Hill High,All Sciences,19,20,1.1,2.4,9,45,20200210
2019,01,Allegany,0405,Fort Hill High,All World Languages & Cultures,*,*,*,*,*,*,20200210
2019,01,Allegany,0601,Center for Career & Technical Education,All Subjects,11,16,1.5,1.69,3,18.8,20200210
2019,01,Allegany,0601,Center for Career & Technical Education,All English,*,*,*,*,*,*,20200210
2019,01,Allegany,0601,Center for Career & Technical Education,All History & Social Science,*,*,*,*,*,*,20200210
2019,01,Allegany,0601,Center for Career & Technical Education,All Math & Computer Science,*,*,*,*,*,*,20200210
2019,01,Allegany,0606,Allegany High,All Subjects,94,179,1.9,2.6,89,49.7,20200210
2019,01,Allegany,0606,Allegany High,All English,30,30,1,2.87,15,50,20200210
2019,01,Allegany,0606,Allegany High,All History & Social Science,71,81,1.1,2.52,37,45.7,20200210
2019,01,Allegany,0606,Allegany High,All Math & Computer Science,27,28,1,2.54,16,57.1,20200210
2019,01,Allegany,0606,Allegany High,All Sciences,38,40,1.1,2.63,21,52.5,20200210
2019,01,Allegany,2404,Mountain Ridge High School,All Subjects,153,248,1.6,2.68,121,48.8,20200210
2019,01,Allegany,2404,Mountain Ridge High School,All English,64,64,1,2.36,21,32.8,20200210
2019,01,Allegany,2404,Mountain Ridge High School,All History & Social Science,128,141,1.1,2.6,68,48.2,20200210
2019,01,Allegany,2404,Mountain Ridge High School,All Math & Computer Science,18,19,1.1,3.68,15,78.9,20200210
2019,01,Allegany,2404,Mountain Ridge High School,All Sciences,22,23,1,3.13,16,69.6,20200210
2019,01,Allegany,2404,Mountain Ridge High School,All World Languages & Cultures,*,*,*,*,*,*,20200210
2019,01,Allegany,A,All Allegany Schools,All Subjects,362,588,1.6,2.6,282,48,20200210
2019,01,Allegany,A,All Allegany Schools,All English,122,122,1,2.42,44,36.1,20200210
2019,01,Allegany,A,All Allegany Schools,All History & Social Science,282,308,1.1,2.6,149,48.4,20200210
2019,01,Allegany,A,All Allegany Schools,All Math & Computer Science,71,73,1,2.67,41,56.2,20200210
2019,01,Allegany,A,All Allegany Schools,All Sciences,79,83,1.1,2.71,46,55.4,20200210
2019,01,Allegany,A,All Allegany Schools,All World Languages & Cultures,*,*,*,*,*,*,20200210
2019,02,Anne Arundel,1033,Glen Burnie High,All Subjects,297,462,1.6,2.28,163,35.3,20200210
2019,02,Anne Arundel,1033,Glen Burnie High,All Arts,*,*,*,*,*,*,20200210
2019,02,Anne Arundel,1033,Glen Burnie High,All English,157,157,1,2.35,61,38.9,20200210
2019,02,Anne Arundel,1033,Glen Burnie High,All History & Social Science,152,160,1.1,2.44,65,40.6,20200210
2019,02,Anne Arundel,1033,Glen Burnie High,All Math & Computer Science,64,66,1,1.97,17,25.8,20200210
2019,02,Anne Arundel,1033,Glen Burnie High,All Sciences,63,64,1,1.88,10,15.6,20200210
2019,02,Anne Arundel,1033,Glen Burnie High,All World Languages & Cultures,*,*,*,*,*,*,20200210
2019,02,Anne Arundel,1323,North County High,All Subjects,471,810,1.7,2.58,393,48.5,20200210
