Academic Year,LSS Number,LSS Name,School Number,School Name,Students Tested,English Score Mean,Math Score Mean,Reading Score Mean,Science Score Mean,Composite Score Mean,Create Date
2019,01,Allegany,0405,Fort Hill High,12,18,19,21,21,20,20200210
2019,01,Allegany,0601,Center for Career & Technical Education,*,*,*,*,*,*,20200210
2019,01,Allegany,0606,Allegany High,16,22,20,23,21,22,20200210
2019,01,Allegany,2404,Mountain Ridge High School,23,21,21,23,23,22,20200210
2019,01,Allegany,A,All Allegany Schools,52,21,20,22,22,21,20200210
2019,02,Anne Arundel,1033,Glen Burnie High,349,15,17,17,17,17,20200210
2019,02,Anne Arundel,1323,North County High,423,16,17,18,18,18,20200210
2019,02,Anne Arundel,2013,Severna Park High,402,24,24,26,25,25,20200210
2019,02,Anne Arundel,2023,Northeast High,271,17,18,19,18,18,20200210
2019,02,Anne Arundel,2233,Anne Arundel Evening High,48,14,16,15,15,15,20200210
2019,02,Anne Arundel,2273,Chesapeake High,294,18,19,20,20,19,20200210
2019,02,Anne Arundel,2363,Broadneck High,445,21,21,23,22,22,20200210
2019,02,Anne Arundel,3013,Arundel High,447,18,19,20,20,20,20200210
2019,02,Anne Arundel,3323,Meade High,370,16,17,18,18,17,20200210
2019,02,Anne Arundel,3353,Old Mill High,465,17,18,19,18,18,20200210
2019,02,Anne Arundel,4013,Annapolis High,329,18,19,20,20,19,20200210
2019,02,Anne Arundel,4023,Southern High,217,18,19,20,19,19,20200210
2019,02,Anne Arundel,4074,Phoenix Academy,10,12,14,14,13,13,20200210
2019,02,Anne Arundel,4293,South River High,476,20,21,23,22,21,20200210
2019,02,Anne Arundel,6223,Chesapeake Science Point,45,20,21,21,20,21,20200210
2019,02,Anne Arundel,A,All Anne Arundel Schools,4591,18,19,20,20,20,20200210
2019,03,Baltimore County,0172,Woodlawn High Center for Pre-Eng. Res.,*,*,*,*,*,*,20200210
2019,03,Baltimore County,0174,Catonsville High,38,23,23,24,23,24,20200210
2019,03,Baltimore County,0175,Western School of Technology & Env. Science,16,27,25,27,26,26,20200210
2019,03,Baltimore County,0271,Milford Mill Academy,19,16,17,19,17,17,20200210
2019,03,Baltimore County,0272,Randallstown High,15,19,19,19,19,19,20200210
2019,03,Baltimore County,0371,Pikesville High,33,25,22,25,24,24,20200210
2019,03,Baltimore County,0452,Owings Mills High,17,18,18,20,19,19,20200210
2019,03,Baltimore County,0472,Franklin High,26,24,24,25,24,24,20200210
2019,03,Baltimore County,0473,New Town High,15,17,18,17,17,17,20200210
2019,03,Baltimore County,0772,Hereford High,51,25,24,26,23,25,20200210
2019,03,Baltimore County,0872,Dulaney High,54,27,26,28,27,27,20200210
2019,03,Baltimore County,0971,Towson High Law & Public Policy,59,26,25,27,25,26,20200210
2019,03,Baltimore County,0972,Parkville High & Center for Math/Science,*,*,*,*,*,*,20200210
2019,03,Baltimore County,0973,Loch Raven High,13,27,23,24,23,25,20200210
2019,03,Baltimore County,0975,George W. Carver Center for Arts & Technology,22,25,24,26,23,25,20200210
2019,03,Baltimore County,1171,Perry Hall High,17,22,21,22,22,22,20200210
2019,03,Baltimore County,1272,Patapsco High & Center for Arts,*,*,*,*,*,*,20200210
2019,03,Baltimore County,1273,Dundalk High,*,*,*,*,*,*,20200210
2019,03,Baltimore County,1371,Lansdowne High & Academy of Finance,*,*,*,*,*,*,20200210
2019,03,Baltimore County,1473,Overlea High & Academy of Finance,11,17,17,18,17,17,20200210
2019,03,Baltimore County,1572,Kenwood High IB and Sports Science,10,14,16,16,16,16,20200210
2019,03,Baltimore County,1573,Sparrows Point High,*,*,*,*,*,*,20200210
2019,03,Baltimore County,1574,Chesapeake High,10,16,17,18,18,17,20200210
2019,03,Baltimore County,1575,Eastern Technical High School,16,24,25,27,25,25,20200210
2019,03,Baltimore County,A,All Baltimore County Schools,485,23,22,24,23,23,20200210
2019,04,Calvert,0113,Patuxent High,40,21,22,24,22,22,20200210
2019,04,Calvert,0213,Calvert High,48,22,22,24,24,23,20200210
2019,04,Calvert,0217,Huntingtown High School,62,23,24,25,24,24,20200210
2019,04,Calvert,0314,Northern High,73,22,23,24,23,23,20200210
2019,04,Calvert,A,All Calvert Schools,223,22,23,24,23,23,20200210
2019,05,Caroline,0703,North Caroline High School,14,22,22,26,23,23,20200210
2019,05,Caroline,0801,Colonel Richardson High School,*,*,*,*,*,*,20200210
2019,05,Caroline,A,All Caroline Schools,22,21,21,26,23,23,20200210
2019,06,Carroll,0202,Francis Scott Key High,27,21,21,24,22,22,20200210
2019,06,Carroll,0507,Liberty High,82,26,26,27,25,26,20200210
2019,06,Carroll,0510,Century High,62,25,25,26,25,26,20200210
2019,06,Carroll,0602,Manchester Valley High,32,22,23,24,22,23,20200210
2019,06,Carroll,0704,Winters Mill High,18,22,23,23,22,23,20200210
2019,06,Carroll,0707,Westminster High,47,24,24,24,24,24,20200210
