Academic Year,LSS Number,LSS Name,School Number,School Name,Students Tested,Evidence-Based Reading and Writing Score Mean,Math Score Mean,Total Score Mean,Create Date
2019,01,Allegany,0405,Fort Hill High,76,518,505,1023,20200210
2019,01,Allegany,0601,Center for Career & Technical Education,*,*,*,*,20200210
2019,01,Allegany,0606,Allegany High,83,544,519,1064,20200210
2019,01,Allegany,2404,Mountain Ridge High School,78,544,527,1070,20200210
2019,01,Allegany,A,All Allegany Schools,244,536,517,1053,20200210
2019,02,Anne Arundel,1033,Glen Burnie High,172,511,485,996,20200210
2019,02,Anne Arundel,1323,North County High,251,531,503,1034,20200210
2019,02,Anne Arundel,2013,Severna Park High,332,620,610,1231,20200210
2019,02,Anne Arundel,2023,Northeast High,117,544,526,1070,20200210
2019,02,Anne Arundel,2233,Anne Arundel Evening High,*,*,*,*,20200210
2019,02,Anne Arundel,2273,Chesapeake High,145,555,557,1112,20200210
2019,02,Anne Arundel,2363,Broadneck High,313,592,579,1170,20200210
2019,02,Anne Arundel,3013,Arundel High,281,553,533,1086,20200210
2019,02,Anne Arundel,3323,Meade High,254,513,479,992,20200210
2019,02,Anne Arundel,3353,Old Mill High,297,530,508,1038,20200210
2019,02,Anne Arundel,4013,Annapolis High,229,556,527,1082,20200210
2019,02,Anne Arundel,4023,Southern High,115,548,529,1077,20200210
2019,02,Anne Arundel,4074,Phoenix Academy,*,*,*,*,20200210
2019,02,Anne Arundel,4293,South River High,361,588,587,1175,20200210
2019,02,Anne Arundel,6223,Chesapeake Science Point,47,563,550,1113,20200210
2019,02,Anne Arundel,A,All Anne Arundel Schools,2924,559,541,1100,20200210
2019,03,Baltimore County,0172,Woodlawn High Center for Pre-Eng. Res.,253,424,400,824,20200210
2019,03,Baltimore County,0174,Catonsville High,401,526,513,1040,20200210
2019,03,Baltimore County,0175,Western School of Technology & Env. Science,227,584,583,1167,20200210
2019,03,Baltimore County,0271,Milford Mill Academy,293,458,428,887,20200210
2019,03,Baltimore County,0272,Randallstown High,190,446,411,857,20200210
2019,03,Baltimore County,0371,Pikesville High,188,515,484,998,20200210
2019,03,Baltimore County,0452,Owings Mills High,201,458,426,884,20200210
2019,03,Baltimore County,0472,Franklin High,309,514,495,1009,20200210
2019,03,Baltimore County,0473,New Town High,243,461,439,901,20200210
2019,03,Baltimore County,0772,Hereford High,288,581,571,1152,20200210
2019,03,Baltimore County,0872,Dulaney High,422,569,553,1122,20200210
2019,03,Baltimore County,0971,Towson High Law & Public Policy,354,587,571,1158,20200210
2019,03,Baltimore County,0972,Parkville High & Center for Math/Science,289,464,443,907,20200210
2019,03,Baltimore County,0973,Loch Raven High,177,526,498,1024,20200210
2019,03,Baltimore County,0975,George W. Carver Center for Arts & Technology,207,585,547,1132,20200210
2019,03,Baltimore County,1171,Perry Hall High,410,514,487,1001,20200210
2019,03,Baltimore County,1272,Patapsco High & Center for Arts,257,475,436,911,20200210
2019,03,Baltimore County,1273,Dundalk High,267,454,423,876,20200210
2019,03,Baltimore County,1371,Lansdowne High & Academy of Finance,209,458,430,887,20200210
2019,03,Baltimore County,1473,Overlea High & Academy of Finance,203,437,406,842,20200210
2019,03,Baltimore County,1572,Kenwood High IB and Sports Science,292,453,434,887,20200210
2019,03,Baltimore County,1573,Sparrows Point High,195,513,498,1011,20200210
2019,03,Baltimore County,1574,Chesapeake High,184,449,429,877,20200210
2019,03,Baltimore County,1575,Eastern Technical High School,313,588,578,1166,20200210
2019,03,Baltimore County,A,All Baltimore County Schools,6372,507,485,992,20200210
2019,04,Calvert,0113,Patuxent High,115,547,532,1079,20200210
2019,04,Calvert,0213,Calvert High,177,551,525,1075,20200210
2019,04,Calvert,0217,Huntingtown High School,244,572,573,1145,20200210
2019,04,Calvert,0314,Northern High,223,566,562,1128,20200210
2019,04,Calvert,A,All Calvert Schools,759,562,552,1114,20200210
2019,05,Caroline,0703,North Caroline High School,215,463,466,929,20200210
2019,05,Caroline,0801,Colonel Richardson High School,115,483,469,952,20200210
2019,05,Caroline,A,All Caroline Schools,330,470,467,937,20200210
2019,06,Carroll,0202,Francis Scott Key High,125,547,532,1080,20200210
2019,06,Carroll,0507,Liberty High,196,592,588,1180,20200210
2019,06,Carroll,0510,Century High,213,585,588,1173,20200210
2019,06,Carroll,0602,Manchester Valley High,188,563,549,1112,20200210
2019,06,Carroll,0704,Winters Mill High,160,552,538,1091,20200210
2019,06,Carroll,0707,Westminster High,261,576,563,1139,20200210
2019,06,Carroll,0903,Flexible Student Support,*,*,*,*,20200210
2019,06,Carroll,1401,South Carroll High,167,578,586,1164,20200210
2019,06,Carroll,A,All Carroll Schools,1312,573,565,1138,20200210
2019,07,Cecil,0204,Bohemia Manor High,152,521,507,1028,20200210
2019,07,Cecil,0302,Elkton High,203,475,464,939,20200210
2019,07,Cecil,0514,North East High,221,490,471,961,20200210
2019,07,Cecil,0705,Perryville High,155,498,482,980,20200210
2019,07,Cecil,0905,Rising Sun High,243,513,501,1014,20200210
2019,07,Cecil,A,All Cecil Schools,974,499,484,983,20200210
2019,08,Charles,0106,La Plata High School,146,552,548,1100,20200210
2019,08,Charles,0108,Maurice J. McDonough High School,115,522,514,1036,20200210
2019,08,Charles,0605,Thomas Stone High School,78,510,499,1009,20200210
2019,08,Charles,0619,Westlake High School,114,495,488,983,20200210
