Academic Year,LSS Number,LSS Name,School Number,School Name,Assessment,Grade,Tested Count,Proficient Count,Proficient Pct,Level 1 Pct,Level 2 Pct,Level 3 Pct,Level 4 Pct,Create Date
2019,01,Allegany,0402,John Humbird Elementary,English Language Arts,4,*,*,*,*,*,*,*,20191002
2019,01,Allegany,0402,John Humbird Elementary,Mathematics,4,*,*,*,*,*,*,*,20191002
2019,01,Allegany,0405,Fort Hill High,English Language Arts,11,*,*,*,*,*,*,*,20191002
2019,01,Allegany,0405,Fort Hill High,Mathematics,11,*,*,*,*,*,*,*,20191002
2019,01,Allegany,0406,Washington Middle,English Language Arts,6,*,*,*,*,*,*,*,20191002
2019,01,Allegany,0406,Washington Middle,English Language Arts,7,*,*,*,*,*,*,*,20191002
2019,01,Allegany,0406,Washington Middle,English Language Arts,8,11,7,63.6,9.1,27.3,63.6,<= 5.0,20191002
2019,01,Allegany,0406,Washington Middle,Mathematics,6,*,*,*,*,*,*,*,20191002
2019,01,Allegany,0406,Washington Middle,Mathematics,7,*,*,*,*,*,*,*,20191002
2019,01,Allegany,0406,Washington Middle,Mathematics,8,11,6,54.5,27.3,18.2,45.5,9.1,20191002
2019,01,Allegany,0504,Braddock Middle,English Language Arts,7,*,*,*,*,*,*,*,20191002
2019,01,Allegany,0504,Braddock Middle,Mathematics,7,*,*,*,*,*,*,*,20191002
2019,01,Allegany,0601,Center for Career & Technical Education,English Language Arts,11,*,*,*,*,*,*,*,20191002
2019,01,Allegany,0601,Center for Career & Technical Education,Mathematics,11,*,*,*,*,*,*,*,20191002
2019,01,Allegany,0606,Allegany High,English Language Arts,11,*,*,*,*,*,*,*,20191002
2019,01,Allegany,0606,Allegany High,Mathematics,11,*,*,*,*,*,*,*,20191002
2019,01,Allegany,0801,Westernport Elementary,English Language Arts,4,*,*,*,*,*,*,*,20191002
2019,01,Allegany,0801,Westernport Elementary,English Language Arts,5,*,*,*,*,*,*,*,20191002
2019,01,Allegany,0801,Westernport Elementary,Mathematics,4,*,*,*,*,*,*,*,20191002
2019,01,Allegany,0801,Westernport Elementary,Mathematics,5,*,*,*,*,*,*,*,20191002
2019,01,Allegany,0802,Westmar Middle,English Language Arts,6,*,*,*,*,*,*,*,20191002
2019,01,Allegany,0802,Westmar Middle,English Language Arts,7,*,*,*,*,*,*,*,20191002
2019,01,Allegany,0802,Westmar Middle,Mathematics,6,*,*,*,*,*,*,*,20191002
2019,01,Allegany,0802,Westmar Middle,Mathematics,7,*,*,*,*,*,*,*,20191002
2019,01,Allegany,1001,George's Creek Elementary,English Language Arts,5,*,*,*,*,*,*,*,20191002
2019,01,Allegany,1001,George's Creek Elementary,Mathematics,5,*,*,*,*,*,*,*,20191002
2019,01,Allegany,2901,Cash Valley Elementary,English Language Arts,3,*,*,*,*,*,*,*,20191002
2019,01,Allegany,2901,Cash Valley Elementary,English Language Arts,4,*,*,*,*,*,*,*,20191002
2019,01,Allegany,2901,Cash Valley Elementary,English Language Arts,5,*,*,*,*,*,*,*,20191002
2019,01,Allegany,2901,Cash Valley Elementary,Mathematics,3,*,*,*,*,*,*,*,20191002
2019,01,Allegany,2901,Cash Valley Elementary,Mathematics,4,*,*,*,*,*,*,*,20191002
2019,01,Allegany,2901,Cash Valley Elementary,Mathematics,5,*,*,*,*,*,*,*,20191002
2019,01,Allegany,7777,Allegany County Home & Hospital,English Language Arts,7,*,*,*,*,*,*,*,20191002
2019,01,Allegany,7777,Allegany County Home & Hospital,Mathematics,7,*,*,*,*,*,*,*,20191002
2019,01,Allegany,A,All Allegany Schools,English Language Arts,3,*,*,*,*,*,*,*,20191002
2019,01,Allegany,A,All Allegany Schools,English Language Arts,4,*,*,*,*,*,*,*,20191002
2019,01,Allegany,A,All Allegany Schools,English Language Arts,5,*,*,*,*,*,*,*,20191002
2019,01,Allegany,A,All Allegany Schools,English Language Arts,6,*,*,*,*,*,*,*,20191002
2019,01,Allegany,A,All Allegany Schools,English Language Arts,7,11,4,36.4,45.5,18.2,27.3,9.1,20191002
2019,01,Allegany,A,All Allegany Schools,English Language Arts,8,15,7,46.7,26.7,26.7,46.7,<= 5.0,20191002
2019,01,Allegany,A,All Allegany Schools,English Language Arts,11,12,8,66.7,8.3,25,33.3,33.3,20191002
2019,01,Allegany,A,All Allegany Schools,Mathematics,3,*,*,*,*,*,*,*,20191002
2019,01,Allegany,A,All Allegany Schools,Mathematics,4,*,*,*,*,*,*,*,20191002
2019,01,Allegany,A,All Allegany Schools,Mathematics,5,*,*,*,*,*,*,*,20191002
2019,01,Allegany,A,All Allegany Schools,Mathematics,6,*,*,*,*,*,*,*,20191002
2019,01,Allegany,A,All Allegany Schools,Mathematics,7,11,5,45.5,9.1,45.5,27.3,18.2,20191002
2019,01,Allegany,A,All Allegany Schools,Mathematics,8,15,6,40,33.3,26.7,33.3,6.7,20191002
2019,01,Allegany,A,All Allegany Schools,Mathematics,11,12,11,91.7,<= 5.0,8.3,58.3,33.3,20191002
2019,02,Anne Arundel,1033,Glen Burnie High,English Language Arts,11,*,*,*,*,*,*,*,20191002
2019,02,Anne Arundel,1033,Glen Burnie High,Mathematics,11,*,*,*,*,*,*,*,20191002
2019,02,Anne Arundel,1053,Lindale Middle,English Language Arts,6,*,*,*,*,*,*,*,20191002
2019,02,Anne Arundel,1053,Lindale Middle,English Language Arts,7,*,*,*,*,*,*,*,20191002
2019,02,Anne Arundel,1053,Lindale Middle,English Language Arts,8,*,*,*,*,*,*,*,20191002
2019,02,Anne Arundel,1053,Lindale Middle,Mathematics,6,*,*,*,*,*,*,*,20191002
2019,02,Anne Arundel,1053,Lindale Middle,Mathematics,7,*,*,*,*,*,*,*,20191002
2019,02,Anne Arundel,1053,Lindale Middle,Mathematics,8,*,*,*,*,*,*,*,20191002
2019,02,Anne Arundel,1063,Marley Middle,English Language Arts,6,*,*,*,*,*,*,*,20191002
2019,02,Anne Arundel,1063,Marley Middle,English Language Arts,7,*,*,*,*,*,*,*,20191002
2019,02,Anne Arundel,1063,Marley Middle,English Language Arts,8,*,*,*,*,*,*,*,20191002
2019,02,Anne Arundel,1063,Marley Middle,Mathematics,6,*,*,*,*,*,*,*,20191002
2019,02,Anne Arundel,1063,Marley Middle,Mathematics,7,*,*,*,*,*,*,*,20191002
2019,02,Anne Arundel,1063,Marley Middle,Mathematics,8,*,*,*,*,*,*,*,20191002
2019,02,Anne Arundel,1162,Marley Elementary,English Language Arts,3,*,*,*,*,*,*,*,20191002
2019,02,Anne Arundel,1162,Marley Elementary,English Language Arts,4,*,*,*,*,*,*,*,20191002
2019,02,Anne Arundel,1162,Marley Elementary,English Language Arts,5,*,*,*,*,*,*,*,20191002
2019,02,Anne Arundel,1162,Marley Elementary,Mathematics,3,*,*,*,*,*,*,*,20191002
2019,02,Anne Arundel,1162,Marley Elementary,Mathematics,4,*,*,*,*,*,*,*,20191002
2019,02,Anne Arundel,1162,Marley Elementary,Mathematics,5,*,*,*,*,*,*,*,20191002
2019,02,Anne Arundel,1182,Oakwood Elementary,English Language Arts,3,*,*,*,*,*,*,*,20191002
2019,02,Anne Arundel,1182,Oakwood Elementary,English Language Arts,4,*,*,*,*,*,*,*,20191002
2019,02,Anne Arundel,1182,Oakwood Elementary,English Language Arts,5,*,*,*,*,*,*,*,20191002
2019,02,Anne Arundel,1182,Oakwood Elementary,Mathematics,3,*,*,*,*,*,*,*,20191002
2019,02,Anne Arundel,1182,Oakwood Elementary,Mathematics,4,*,*,*,*,*,*,*,20191002
2019,02,Anne Arundel,1182,Oakwood Elementary,Mathematics,5,*,*,*,*,*,*,*,20191002
2019,02,Anne Arundel,1212,Point Pleasant Elementary,English Language Arts,3,*,*,*,*,*,*,*,20191002
2019,02,Anne Arundel,1212,Point Pleasant Elementary,English Language Arts,4,*,*,*,*,*,*,*,20191002
2019,02,Anne Arundel,1212,Point Pleasant Elementary,English Language Arts,5,*,*,*,*,*,*,*,20191002
